label	lat	lon
CA0001271	34.053015	-118.279132
CA7503210	34.055452	-118.279469
CA0001379	34.050586	-118.289481
CA0002654	34.051406	-118.290220
CA8571786	34.059088	-118.268468
CA7519796	34.052818	-118.286132
CA8570978	34.055562	-118.27883
CA0002061	34.060033	-118.264605
CA7513371	34.053188	-118.268064
CA7513764	34.050535	-118.282027
CA0001031	34.061000	-118.277511
CA0001048	34.051182	-118.290402
CA8502329	34.053310	-118.285774
CA7507402	34.044384	-118.251634
CA0002567	34.061963	-118.276259
CA8571309	34.058821	-118.280887
CA8569094	34.059144	-118.27529
CA7504121	34.044792	-118.279127
CA0001350	34.057792	-118.282529
CA0001349	34.058433	-118.274771
CA7511323	34.047908	-118.250270
CA0001688	34.047575	-118.282529
CA8560999	34.049852	-118.271604
CA7509457	34.042667	-118.256592
CA7511863	34.047669	-118.290617
CA8567439	34.060987	-118.269928
CA0001029	34.060480	-118.276240
CA7518612	34.045691	-118.28981
CA7511850	34.036876	-118.265120
CA7511960	34.059659	-118.281334
CA0001471	34.029253	-118.281591
CA7516413	34.056184	-118.282754
CA0002687	34.039310	-118.272403
CA7517583	34.058748	-118.272394
CA8712677	34.048807	-118.251749
CA8571275	34.052937	-118.275107
CA0002488	34.046199	-118.272019
CA8571764	34.051644	-118.271834
CA0001864	34.056037	-118.262397
CA8565879	34.062606	-118.271612
CA0001095	34.036402	-118.272624
CA7514075	34.034006	-118.277541
CA8540019	34.048871	-118.286837
CA7505846	34.046508	-118.250882
CA7518107	34.055816	-118.262240
CA7508443	34.045133	-118.256330
CA0001780	34.036397	-118.272576
CA8600540	34.034207	-118.286907
CA8569344	34.060415	-118.276203
CA7508148	34.044730	-118.251791
CA7523540	34.047863	-118.286679
CA7510035	34.044189	-118.275320
CA7503078	34.055548	-118.269655
CA7508148 	34.044712	-118.251744
CA0002606	34.049331	-118.277486
CA0001775	34.057410	-118.275142
CA8570685	34.047235	-118.278963
CA7508162	34.048364	-118.251343
CA0002667	34.060033	-118.264605
CA0001521	34.04493	-118.284634
CA7507854	34.051691	-118.276495
CA8507302	34.059516	-118.269433
CA7510314	34.047314	-118.278015
CA0001448	34.042718	-118.278881
CA7512838	34.052952	-118.276982
CA0001395	34.030585	-118.276169
CA8501646	34.037720	-118.289381
CA0002108	34.051090	-118.262721
CA8506419	34.059288	-118.271081
CA8563045	34.04433	-118.280678
CA8502570	34.050022	-118.289764
CA0001609	34.049902	-118.271471
CA7506312 	34.046391	-118.251151
CA7516062	34.053107	-118.272625
CA0001382	34.045198	-118.251493
CA0002057	34.059276	-118.267067
CA7502628	34.047672	-118.250117
CA7508089	34.054309	-118.277015
CA8604165	34.038254	-118.286000
CA8567989	34.037238	-118.263478
CA7520201	34.044874	-118.275857
CA8568988	34.035141	-118.282245
CA7507925	34.060033	-118.264605
CA0001987	34.052953	-118.290111
CA7510044	34.059039	-118.269701
CA0000438	34.039513	-118.280077
CA0001437	34.054897	-118.276783
CA0002055	34.033008	-118.279491
CA7515312	34.049764	-118.288954
CA7517076	34.057187	-118.281327
CA0002609	34.049665	-118.286820
CA0002341	34.055236	-118.272967
CA7511332	34.047809	-118.250718
CA0002145	34.033279	-118.281983
CA0002504	34.057797	-118.272746
CA0002608	34.046387	-118.281043
CA0001988	34.05167	-118.290045
CA0002768	34.053206	-118.289989
CA8557136	34.054127	-118.279503
CA7515422	34.048733	-118.276746
CA8505338	34.049910	-118.284978
CA0002788	34.04898	-118.292253
CA0001462	34.053710	-118.287463
CA0002202	34.054483	-118.281756
CA0003093	34.054814	-118.288653
CA0002700	34.049878	-118.269739
CA7506312	34.046386	-118.251403
CA7504326	34.048757	-118.255650
CA0001582	34.060062	-118.272801
CA7516061	34.060014	-118.264625
CA7514729	34.029115	-118.266517
CA0002112	34.056525	-118.263021
CA7515788	34.053593	-118.276283
CA0002379	34.051497	-118.288420
CA7510313	34.047314	-118.278015
CA0002329	34.045574	-118.251903
CA8514119	34.061003	-118.267631
CA7519736	34.050516	-118.283344
CA0001038	34.053747	-118.286194
CA0001571	34.041941	-118.291899
CA8503143	34.058983	-118.261626
